species,species_code,month,type_of_day,sub_region,state,length_mm,length_in,weight_kg,weight_lbs,fishing_mode,area_x
BLACK SEA BASS,8835020301,1,Weekend,Gulf of Mexico,Florida,300,11.81102362,0.28,0.6172936,Charter Boat,4
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,639,25.15748031,2.08,4.5856096,Charter Boat,1
KING MACKEREL,8850030501,2,Weekend,Gulf of Mexico,Florida,921,36.25984252,6.56,14.4623072,Charter Boat,4
RED DRUM,8835440901,1,Weekday,South Atlantic,Florida,610,24.01574803,2.82,6.2170284,Private or Rental Boat,5
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,727,28.62204724,2.7,5.952474,Charter Boat,2
KING MACKEREL,8850030501,2,Weekday,South Atlantic,Florida,714,28.11023622,2.36,5.2029032,Charter Boat,1
KING MACKEREL,8850030501,1,Weekday,Gulf of Mexico,Florida,676,26.61417323,2.18,4.8060716,Charter Boat,4
KING MACKEREL,8850030501,2,Weekday,South Atlantic,Florida,840,33.07086614,4.73,10.4278526,Charter Boat,1
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,839,33.03149606,4.64,10.2294368,Charter Boat,2
KING MACKEREL,8850030501,2,Weekend,South Atlantic,Florida,804,31.65354331,3.76,8.2893712,Charter Boat,1
KING MACKEREL,8850030501,2,Weekday,South Atlantic,Florida,685,26.96850394,2.88,6.3493056,Charter Boat,1
BLACK SEA BASS,8835020301,1,Weekend,Gulf of Mexico,Florida,315,12.4015748,0.38,0.8377556,Charter Boat,4
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,779,30.66929134,3.46,7.6279852,Charter Boat,2
RED DRUM,8835440901,1,Weekend,South Atlantic,North Carolina,577,22.71653543,2.5,5.51155,Private or Rental Boat,5
KING MACKEREL,8850030501,1,Weekend,Gulf of Mexico,Florida,684,26.92913386,2.6,5.732012,Charter Boat,4
KING MACKEREL,8850030501,2,Weekend,South Atlantic,Florida,642,25.27559055,1.88,4.1446856,Charter Boat,2
RED DRUM,8835440901,1,Weekend,Gulf of Mexico,Alabama,396,15.59055118,0.7,1.543234,Private or Rental Boat,5
KING MACKEREL,8850030501,2,Weekday,Gulf of Mexico,Florida,773,30.43307087,3.26,7.1870612,Charter Boat,3
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,805,31.69291339,3.7,8.157094,Charter Boat,2
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,865,34.05511811,5.24,11.5522088,Charter Boat,2
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,758,29.84251969,2.98,6.5697676,Private or Rental Boat,2
BLACK SEA BASS,8835020301,1,Weekend,Gulf of Mexico,Florida,255,10.03937008,0.26,0.5732012,Charter Boat,4
KING MACKEREL,8850030501,2,Weekend,Gulf of Mexico,Florida,778,30.62992126,3.32,7.3193384,Charter Boat,4
RED DRUM,8835440901,2,Weekend,Gulf of Mexico,Florida,621,24.4488189,2.8,6.172936,Private or Rental Boat,5
KING MACKEREL,8850030501,1,Weekday,Gulf of Mexico,Florida,788,31.02362205,3.54,7.8043548,Charter Boat,3
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,903,35.5511811,5.08,11.1994696,Charter Boat,2
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,815,32.08661417,4.2,9.259404,Charter Boat,2
RED DRUM,8835440901,1,Weekday,South Atlantic,North Carolina,566,22.28346457,2.1,4.629702,Private or Rental Boat,5
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,845,33.26771654,4.78,10.5380836,Charter Boat,1
RED DRUM,8835440901,2,Weekend,Gulf of Mexico,Alabama,530,20.86614173,1.8,3.968316,Charter Boat,5
KING MACKEREL,8850030501,2,Weekend,South Atlantic,Florida,755,29.72440945,3.12,6.8784144,Charter Boat,2
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,893,35.15748031,5.8,12.786796,Charter Boat,2
KING MACKEREL,8850030501,2,Weekday,Gulf of Mexico,Florida,662,26.06299213,1.94,4.2769628,Charter Boat,4
KING MACKEREL,8850030501,2,Weekend,Gulf of Mexico,Florida,723,28.46456693,2.4,5.291088,Charter Boat,4
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,872,34.33070866,5.2,11.464024,Charter Boat,2
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,796,31.33858268,3.9,8.598018,Charter Boat,2
KING MACKEREL,8850030501,1,Weekday,Gulf of Mexico,Florida,825,32.48031496,4.02,8.8625724,Charter Boat,4
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,846,33.30708661,4.82,10.6262684,Charter Boat,2
KING MACKEREL,8850030501,2,Weekday,Gulf of Mexico,Florida,675,26.57480315,1.96,4.3210552,Charter Boat,4
BLACK SEA BASS,8835020301,2,Weekday,Gulf of Mexico,Florida,262,10.31496063,0.26,0.5732012,Private or Rental Boat,5
KING MACKEREL,8850030501,1,Weekend,Gulf of Mexico,Florida,738,29.05511811,3,6.61386,Charter Boat,4
RED DRUM,8835440901,2,Weekend,Gulf of Mexico,Mississippi,740,29.13385827,4.02,8.8625724,Private or Rental Boat,5
KING MACKEREL,8850030501,2,Weekend,South Atlantic,Florida,736,28.97637795,3.34,7.3634308,Charter Boat,1
KING MACKEREL,8850030501,2,Weekend,Gulf of Mexico,Florida,628,24.72440945,1.58,3.4832996,Charter Boat,4
KING MACKEREL,8850030501,2,Weekday,Gulf of Mexico,Florida,650,25.59055118,1.66,3.6596692,Charter Boat,4
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,774,30.47244094,3.6,7.936632,Charter Boat,2
BLACK SEA BASS,8835020301,1,Weekend,Gulf of Mexico,Florida,282,11.1023622,0.3,0.661386,Charter Boat,4
KING MACKEREL,8850030501,2,Weekday,Gulf of Mexico,Florida,620,24.40944882,1.64,3.6155768,Charter Boat,4
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,696,27.4015748,2.46,5.4233652,Charter Boat,1
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,752,29.60629921,3.08,6.7902296,Charter Boat,2
RED DRUM,8835440901,2,Weekend,South Atlantic,North Carolina,536,21.1023622,1.8,3.968316,Private or Rental Boat,5
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,1004,39.52755906,7.36,16.2260032,Charter Boat,2
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,882,34.72440945,4.9,10.802638,Charter Boat,2
KING MACKEREL,8850030501,2,Weekday,South Atlantic,Florida,804,31.65354331,3.76,8.2893712,Charter Boat,1
BLACK SEA BASS,8835020301,1,Weekend,Gulf of Mexico,Florida,305,12.00787402,0.36,0.7936632,Charter Boat,4
KING MACKEREL,8850030501,1,Weekday,Gulf of Mexico,Florida,628,24.72440945,1.58,3.4832996,Charter Boat,4
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,705,27.75590551,2.78,6.1288436,Charter Boat,2
KING MACKEREL,8850030501,2,Weekday,Gulf of Mexico,Florida,642,25.27559055,1.76,3.8801312,Charter Boat,4
KING MACKEREL,8850030501,1,Weekday,Gulf of Mexico,Florida,798,31.41732283,3.76,8.2893712,Charter Boat,4
KING MACKEREL,8850030501,1,Weekend,Gulf of Mexico,Florida,947,37.28346457,6.86,15.1236932,Charter Boat,4
BLACK SEA BASS,8835020301,1,Weekend,Gulf of Mexico,Florida,314,12.36220472,0.48,1.0582176,Charter Boat,3
